Date,Open,High,Low,Close,Adj Close,Volume
2022/12/12,3.75,3.85,3.54,3.6,3.6,436581
2022/12/13,3.6,3.63,3.36,3.45,3.45,496091
2022/12/14,3.5,3.84,3.47,3.83,3.83,605322
2022/12/15,3.79,3.95,3.68,3.91,3.91,698283
2022/12/16,3.8,3.84,3.65,3.7,3.7,381724
2022/12/19,3.72,3.79,3.61,3.79,3.79,358432
2022/12/20,3.69,3.69,3.5,3.5,3.5,541829
2022/12/21,3.43,3.6,3.43,3.54,3.54,223391
2022/12/22,3.43,3.49,3.3,3.35,3.35,515687
2022/12/23,3.3,3.41,3.25,3.36,3.36,202742
2022/12/28,3.32,3.32,3.16,3.19,3.19,305903
2022/12/29,3.1,3.25,3.1,3.23,3.23,327369
2022/12/30,3.19,3.27,3.17,3.25,3.25,301105
2023/01/03,3.45,3.54,3.35,3.48,3.48,438467
2023/01/04,3.51,3.68,3.48,3.64,3.64,371651
2023/01/05,3.65,3.73,3.47,3.64,3.64,368107
2023/01/06,3.65,3.67,3.54,3.67,3.67,123953
2023/01/09,3.7,3.78,3.53,3.76,3.76,293600
2023/01/10,3.75,3.77,3.66,3.72,3.72,193933
2023/01/11,3.69,3.95,3.69,3.87,3.87,803051
2023/01/12,3.89,3.98,3.87,3.97,3.97,472416
2023/01/13,3.99,4.23,3.99,4.1,4.1,1390087
2023/01/16,4.21,4.5,4.21,4.49,4.49,1170507
2023/01/17,4.45,4.65,4.15,4.38,4.38,1520645
2023/01/18,4.25,4.34,4.21,4.3,4.3,905216
2023/01/19,4.3,4.56,4.24,4.47,4.47,801700
2023/01/20,4.55,4.88,4.55,4.82,4.82,938491
2023/01/23,4.88,5,4.8,4.96,4.96,859046
2023/01/24,5,5.1,4.975,5.02,5.02,862772
2023/01/25,5,5.1,4.64,4.74,4.74,1192057
2023/01/27,4.74,4.74,4.74,4.74,4.74,0
2023/01/30,4.74,4.74,4.74,4.74,4.74,0
2023/01/31,4.74,4.74,4.74,4.74,4.74,0
2023/02/01,4.74,4.74,4.74,4.74,4.74,0
2023/02/02,4.7,5.19,4.64,5,5,695246
2023/02/03,4.97,5.74,4.97,5.74,5.74,1503734
2023/02/06,5.74,5.74,5.25,5.43,5.43,668316
2023/02/07,5.45,5.85,5.45,5.69,5.69,819265
2023/02/08,5.6,5.86,5.53,5.78,5.78,531794
2023/02/09,5.73,6.05,5.66,5.95,5.95,915864
2023/02/10,5.91,6.22,5.62,6.08,6.08,1076810
